timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773669619040,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619042,8,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,8,0,0
1773669619044,7,后端请求压测,200,OK,线程组 1-3,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,1,0,0
1773669619044,1,后端请求压测-0,307,Temporary Redirect,线程组 1-3,,true,,147,171,3,3,http://127.0.0.1:8000/file,1,0,0
1773669619045,6,后端请求压测-1,200,OK,线程组 1-3,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619051,6,后端请求压测,200,OK,线程组 1-3,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619051,2,后端请求压测-0,307,Temporary Redirect,线程组 1-3,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619053,4,后端请求压测-1,200,OK,线程组 1-3,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619050,8,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619050,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619052,6,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619049,9,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619049,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619052,6,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619057,8,后端请求压测,200,OK,线程组 1-3,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619057,3,后端请求压测-0,307,Temporary Redirect,线程组 1-3,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619060,5,后端请求压测-1,200,OK,线程组 1-3,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
1773669619059,6,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619059,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619061,4,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,4,0,0
1773669619058,8,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,1,0,0
1773669619058,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,3,3,http://127.0.0.1:8000/file,1,0,0
1773669619060,6,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619066,6,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,1,0,0
1773669619066,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,1,0,0
1773669619067,5,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
1773669619065,8,后端请求压测,200,OK,线程组 1-3,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619065,3,后端请求压测-0,307,Temporary Redirect,线程组 1-3,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619068,5,后端请求压测-1,200,OK,线程组 1-3,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
1773669619066,8,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619066,3,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619069,5,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
1773669619072,8,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
